Name,ISO,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Togo,TGO,37493,452.884,90,1.087,0,275,3.322,0,0,0
Tokelau,TKL,0,0,0,0,0,0,0,0,0,0
Tonga,TON,12301,11638.204,0,0,0,12,11.353,0,0,0
Trinidad and Tobago,TTO,167658,11979.953,758,54.163,73,4018,287.105,13,0.929,2
Tunisia,TUN,1066127,9020.741,13947,118.009,0,28748,243.243,57,0.482,0
Türkiye,TUR,15180444,17999.303,57113,67.718,0,99057,117.451,25,0.03,0
Turkmenistan,TKM,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,TCA,6234,16101.038,15,38.742,0,36,92.98,0,0,0
Tuvalu,TUV,3,25.441,0,0,0,0,0,0,0,0
Uganda,UGA,167092,365.3,359,0.785,0,3621,7.916,1,0.002,0
Ukraine,UKR,5018019,11474.017,0,0,0,108656,248.449,0,0,0
United Arab Emirates,ARE,956382,9669.799,12360,124.97,1690,2322,23.477,7,0.071,3
United Kingdom of Great Britain and Northern Ireland,GBR,22884446,33710.109,164586,242.445,18155,180718,266.208,332,0.489,0
United Republic of Tanzania,TZA,35768,59.879,0,0,0,841,1.408,0,0,0
United States of America,USA,87020037,26289.831,728450,220.074,237428,1009269,304.913,2040,0.616,437
United States Virgin Islands,VIR,21022,20131.195,144,137.898,27,118,113,0,0,0
Uruguay,URY,962251,27700.8,4622,133.056,0,7351,211.617,20,0.576,0
Uzbekistan,UZB,241377,721.191,613,1.832,94,1637,4.891,0,0,0
Vanuatu,VUT,11477,3736.672,205,66.744,0,14,4.558,0,0,0
Venezuela (Bolivarian Republic of),VEN,527241,1854.136,1312,4.614,167,5735,20.168,5,0.018,0
Viet Nam,VNM,10751227,11045.186,5596,5.749,914,43089,44.267,2,0.002,1
Wallis and Futuna,WLF,456,4054.775,2,17.784,0,7,62.244,0,0,0
Yemen,YEM,11832,39.67,8,0.027,0,2149,7.205,0,0,0
Zambia,ZMB,326300,1774.917,952,5.178,0,4008,21.802,5,0.027,0
Zimbabwe,ZWE,255755,1720.758,169,1.137,0,5558,37.395,3,0.02,0
